Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-09-06,32.5,23.7,27.4,3.6,0.0,59.0,Partly cloudy,8.0
2022-09-07,30.3,23.3,26.2,5.4,0.0,60.0,Partly cloudy,8.0
2022-09-08,25.5,21.8,23.6,4.3,12.7,77.0,Moderate rain at times,6.0
2022-09-09,23.6,21.3,22.8,5.4,11.3,96.0,Heavy rain at times,5.0
2022-09-10,26.8,21.8,24.0,4.0,3.2,87.0,Patchy rain possible,6.0
2022-09-11,25.7,21.1,23.2,3.2,13.7,95.0,Moderate or heavy rain shower,6.0
2022-09-12,23.2,21.1,22.1,1.8,10.5,97.0,Moderate or heavy rain shower,5.0
2022-09-13,27.9,20.7,23.8,4.7,19.5,86.0,Moderate or heavy rain shower,6.0
2022-09-14,31.0,21.7,25.4,4.3,6.9,90.0,Moderate or heavy rain shower,7.0
2022-09-15,29.3,22.9,25.3,5.0,6.4,85.0,Moderate rain at times,6.0
2022-09-16,27.4,22.2,24.3,5.8,20.7,91.0,Moderate or heavy rain shower,6.0
2022-09-17,27.0,22.0,23.6,5.4,8.6,92.0,Moderate rain at times,6.0
2022-09-18,30.2,21.3,25.4,4.3,0.8,79.0,Patchy rain possible,7.0
2022-09-19,31.7,22.7,26.7,4.7,1.4,74.0,Moderate rain at times,7.0
2022-09-20,31.3,23.6,26.5,5.8,1.3,79.0,Patchy rain possible,7.0
2022-09-21,27.8,21.8,24.9,5.4,3.6,89.0,Patchy rain possible,6.0
2022-09-22,30.4,21.3,24.6,5.8,3.5,89.0,Patchy rain possible,7.0
2022-09-23,29.9,22.2,24.8,5.0,1.3,81.0,Patchy rain possible,6.0
2022-09-24,27.0,21.4,23.2,6.5,1.6,80.0,Patchy rain possible,6.0
2022-09-25,26.4,21.2,23.1,7.6,1.2,84.0,Patchy rain possible,6.0
2022-09-26,28.8,21.0,24.4,5.0,0.0,80.0,Overcast,6.0
2022-09-27,29.9,21.9,25.3,4.7,0.0,74.0,Partly cloudy,7.0
2022-09-28,30.8,21.9,25.1,5.8,6.1,71.0,Patchy rain possible,7.0
2022-09-29,23.8,20.3,22.2,2.5,22.6,99.0,Moderate or heavy rain shower,5.0
