Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-09-06,23.5,14.4,18.8,9.0,0.0,73.0,Partly cloudy,6.0
2022-09-07,23.5,13.9,18.7,10.4,0.0,72.0,Cloudy,5.0
2022-09-08,22.0,16.5,18.9,12.2,3.8,85.0,Moderate rain at times,5.0
2022-09-09,21.8,16.8,19.0,8.3,3.6,92.0,Patchy rain possible,5.0
2022-09-10,23.0,16.5,18.8,6.5,18.4,90.0,Heavy rain at times,5.0
2022-09-11,21.2,16.3,18.2,4.0,9.1,94.0,Moderate or heavy rain shower,5.0
2022-09-12,20.1,15.9,17.7,6.7,7.2,96.0,Moderate or heavy rain shower,5.0
2022-09-13,23.0,15.1,18.6,9.7,6.5,87.0,Moderate rain at times,5.0
2022-09-14,23.5,16.5,18.9,10.8,0.8,90.0,Patchy rain possible,5.0
2022-09-15,23.9,16.6,19.5,9.7,1.1,89.0,Patchy rain possible,5.0
2022-09-16,23.2,17.2,19.6,13.7,11.4,89.0,Heavy rain at times,5.0
2022-09-17,23.2,16.3,19.0,11.5,3.5,90.0,Heavy rain at times,5.0
2022-09-18,25.0,15.7,19.9,6.8,0.4,85.0,Patchy rain possible,6.0
2022-09-19,26.9,16.2,20.7,7.2,3.7,82.0,Moderate or heavy rain shower,6.0
2022-09-20,25.0,16.6,20.4,10.8,0.7,85.0,Patchy rain possible,6.0
2022-09-21,22.8,16.9,19.3,12.2,4.7,89.0,Moderate rain at times,5.0
2022-09-22,22.8,15.6,18.8,10.4,1.9,90.0,Patchy rain possible,5.0
2022-09-23,23.5,15.7,18.9,11.9,1.2,84.0,Patchy rain possible,5.0
2022-09-24,22.4,14.2,18.1,12.6,2.4,86.0,Patchy rain possible,5.0
2022-09-25,23.0,14.8,18.4,14.0,1.7,88.0,Patchy rain possible,5.0
2022-09-26,23.4,15.1,18.6,10.4,0.5,87.0,Patchy rain possible,5.0
2022-09-27,23.5,14.8,18.9,10.8,0.0,84.0,Overcast,5.0
2022-09-28,22.8,14.7,18.6,14.8,1.2,82.0,Patchy rain possible,5.0
2022-09-29,19.5,16.6,17.4,9.0,13.8,95.0,Moderate or heavy rain shower,4.0
2022-09-30,20.1,16.3,17.9,8.6,13.7,91.0,Moderate or heavy rain shower,5.0
2022-10-01,22.3,16.0,18.6,8.6,7.9,92.0,Moderate or heavy rain shower,5.0
2022-10-02,22.4,17.0,18.9,12.6,29.9,93.0,Moderate or heavy rain shower,5.0
2022-10-03,24.0,16.5,19.4,14.8,2.3,88.0,Patchy rain possible,5.0
2022-10-04,24.0,15.3,18.6,9.7,0.0,85.0,Overcast,5.0
2022-10-05,24.4,14.4,18.8,15.8,0.4,85.0,Patchy rain possible,5.0
2022-10-06,22.3,15.4,17.8,14.0,0.5,88.0,Patchy rain possible,5.0
2022-10-07,21.6,14.5,17.5,14.0,1.5,90.0,Patchy rain possible,5.0
2022-10-08,23.2,15.1,18.5,16.9,1.5,88.0,Patchy rain possible,5.0
2022-10-09,17.6,10.9,14.8,16.6,7.6,94.0,Moderate or heavy rain shower,4.0
2022-10-10,15.1,9.8,12.0,13.0,0.1,85.0,Overcast,4.0
2022-10-11,16.5,11.4,13.6,6.1,0.0,88.0,Overcast,4.0
2022-10-12,18.3,12.8,14.8,9.4,0.0,89.0,Overcast,4.0
2022-10-13,18.5,13.5,15.5,6.5,1.4,88.0,Patchy rain possible,4.0
2022-10-14,21.2,12.2,16.0,10.1,0.0,73.0,Sunny,6.0
2022-10-15,21.1,10.1,14.9,11.2,0.0,69.0,Sunny,6.0
