Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-09-06,34.4,23.0,28.4,6.5,0.0,64.0,Partly cloudy,8.0
2022-09-07,33.1,24.9,27.8,6.5,2.1,72.0,Patchy rain possible,7.0
2022-09-08,26.5,23.7,24.6,9.0,45.7,95.0,Moderate or heavy rain shower,6.0
2022-09-09,25.1,23.2,24.0,4.0,14.4,97.0,Moderate rain at times,6.0
2022-09-10,28.7,22.7,25.4,3.6,3.9,90.0,Patchy rain possible,6.0
2022-09-11,30.0,22.9,26.0,4.0,6.2,90.0,Moderate or heavy rain shower,7.0
2022-09-12,29.5,23.4,26.4,4.7,0.3,93.0,Patchy rain possible,6.0
2022-09-13,27.6,24.5,25.9,4.0,3.1,95.0,Moderate or heavy rain shower,6.0
2022-09-14,30.3,23.9,26.7,6.5,1.3,88.0,Patchy rain possible,7.0
2022-09-15,31.0,24.7,27.0,5.4,3.8,90.0,Moderate or heavy rain shower,7.0
2022-09-16,29.8,24.2,26.1,5.4,12.6,93.0,Moderate or heavy rain shower,6.0
2022-09-17,27.9,23.2,25.3,2.9,22.0,93.0,Moderate or heavy rain shower,6.0
2022-09-18,31.5,22.4,26.7,4.7,0.3,83.0,Patchy rain possible,7.0
2022-09-19,34.1,23.4,28.2,5.8,0.5,78.0,Patchy rain possible,7.0
2022-09-20,33.3,24.4,28.1,5.4,0.2,82.0,Patchy rain possible,7.0
2022-09-21,29.3,24.0,26.1,5.8,13.1,88.0,Heavy rain at times,6.0
2022-09-22,28.0,23.1,25.2,5.8,14.3,91.0,Moderate or heavy rain shower,6.0
2022-09-23,30.4,23.2,25.9,5.4,6.2,86.0,Moderate rain at times,7.0
2022-09-24,29.5,22.7,25.5,7.2,7.5,84.0,Moderate rain at times,6.0
2022-09-25,28.0,22.4,24.8,8.3,6.2,88.0,Moderate rain at times,6.0
2022-09-26,30.7,22.4,25.9,4.7,0.8,84.0,Patchy rain possible,7.0
2022-09-27,32.5,22.5,27.1,6.8,0.6,76.0,Patchy rain possible,7.0
2022-09-28,25.4,22.6,24.4,8.5,34.3,89.0,Moderate or heavy rain shower,6.0
