"Ten,","ngay,",LuongVao(m3/s),Luongvao(m3),QuaNhaMay(m3/s),Luuluong(m3),Dien_nang (KW)
"sonLa,","30/10/2022,",1729,6224400,618,2224800,52530
"sonLa,","29/10/2022,",1450,5220000,311,1119600,26435
"sonLa,","28/10/2022,",1732,6235200,563,2026800,47855
"sonLa,","27/10/2022,",1673,6022800,994,3578400,84490
"sonLa,","26/10/2022,",1389,5000400,0,0,0
"sonLa,","25/10/2022,",1389,5000400,669,2408400,56865
"sonLa,","24/10/2022,",1280,4608000,617,2221200,52445
"sonLa,","23/10/2022,",1463,5266800,352,1267200,29920
"sonLa,","22/10/2022,",783,2818800,783,2818800,66555
"sonLa,","21/10/2022,",879,3164400,323,1162800,27455
"sonLa,","20/10/2022,",1622,5839200,310,1116000,26350
"sonLa,","19/10/2022,",1370,4932000,0,0,0
"sonLa,","18/10/2022,",1194,4298400,638,2296800,54230
"sonLa,","17/10/2022,",1014,3650400,1014,3650400,86190
"sonLa,","16/10/2022,",1591,5727600,1035,3726000,87975
"sonLa,","15/10/2022,",236,849600,0,0,0
"sonLa,","14/10/2022,",528,1900800,0,0,0
"sonLa,","13/10/2022,",1944,6998400,0,0,0
"sonLa,","12/10/2022,",1982,7135200,0,0,0
"sonLa,","11/10/2022,",1522,5479200,689,2480400,58565
SsonLa,", 10/10/2022",1857,6685200,468,1684800,39780
"sonLa,","09/10/2022,",1276,4593600,165,594000,14025
"sonLa,","08/10/2022,",1452,5227200,752,2707200,63920
"sonLa,","07/10/2022,",1389,5000400,733,2638800,62305
"sonLa,","06/10/2022,",1515,5454000,636,2289600,54060
"sonLa,","05/10/2022,",1662,5983200,622,2239200,52870
"sonLa,","04/10/2022,",1550,5580000,994,3578400,84490
"sonLa,","03/10/2022,",1071,3855600,349,1256400,29665
"sonLa,","02/10/2022,",1389,5000400,0,0,0
"sonLa,","01/10/2022,",1528,5500800,669,2408400,56865
"sonLa,","30/09/2022,",2123,7642800,623,2242800,52955
"sonLa,","29/09/2022,",1944,6998400,416,1497600,35360
"sonLa,","28/09/2022,",2083,7498800,0,0,0
"sonLa,","27/09/2022,",1833,6598800,669,2408400,56865
"sonLa,","26/09/2022,",2251,8103600,584,2102400,49640
"sonLa,","25/09/2022,",1927,6937200,303,1090800,25755
"sonLa,","24/09/2022,",2152,7747200,369,1328400,31365
"sonLa,","23/09/2022,",2265,8154000,598,2152800,50830
"sonLa,","22/09/2022,",2168,7804800,704,2534400,59840
"sonLa,","21/09/2022,",1975,7110000,586,2109600,49810
"sonLa,","20/09/2022,",2024,7286400,610,2196000,51850
"sonLa,","19/09/2022,",2452,8827200,1063,3826800,90355
"sonLa,","18/09/2022,",2436,8769600,718,2584800,61030
"sonLa,","17/09/2022,",2350,8460000,0,0,0
"sonLa,","16/09/2022,",3345,12042000,714,2570400,60690
"sonLa,","15/09/2022,",2081,7491600,1327,4777200,112795
"sonLa,","14/09/2022,",1585,5706000,1029,3704400,87465
"sonLa,","13/09/2022,",2582,9295200,1193,4294800,101405
"sonLa,","12/09/2022,",2520,9072000,853,3070800,72505
"sonLa,","11/09/2022,",2082,7495200,0,0,0
"sonLa,","10/09/2022,",1449,5216400,586,2109600,49810
"sonLa,","09/09/2022,",2165,7794000,81,291600,6885
"sonLa,","08/09/2022,",2106,7581600,439,1580400,37315
