Day,Temperature Max,Temperature Min,Temperature Avg,MaxWind_km/h,TotalPrecip_mm,Humidity Avg,Comment,UV Index
2022-09-07,33.6,24.7,27.9,10.3,1.3,69.0,Moderate rain at times,7.0
2022-09-08,25.6,23.3,24.5,12.2,43.9,93.0,Moderate or heavy rain shower,6.0
2022-09-09,26.2,23.3,24.6,5.8,13.3,93.0,Moderate rain at times,6.0
2022-09-10,28.6,22.9,25.3,7.2,3.7,87.0,Patchy rain possible,6.0
2022-09-11,30.5,23.2,26.0,3.8,5.4,87.0,Moderate rain at times,7.0
2022-09-12,29.5,23.5,26.1,6.1,1.0,89.0,Patchy rain possible,6.0
2022-09-13,28.6,22.8,25.7,7.6,1.2,89.0,Patchy rain possible,6.0
2022-09-14,31.6,23.8,27.1,10.5,1.7,82.0,Moderate rain at times,7.0
2022-09-15,31.4,24.6,27.0,8.3,3.9,84.0,Moderate or heavy rain shower,7.0
2022-09-16,27.7,23.2,25.5,11.9,15.4,91.0,Moderate or heavy rain shower,6.0
2022-09-17,27.1,23.9,25.3,4.3,26.5,90.0,Moderate or heavy rain shower,6.0
2022-09-18,33.2,22.9,27.5,8.0,0.1,78.0,Patchy rain possible,7.0
2022-09-19,34.7,24.4,29.0,7.9,0.0,75.0,Partly cloudy,8.0
2022-09-20,33.5,24.6,28.3,11.5,0.0,79.0,Cloudy,7.0
2022-09-21,30.2,24.6,26.7,10.1,26.2,83.0,Moderate or heavy rain shower,7.0
2022-09-22,30.2,23.5,26.2,9.7,9.4,85.0,Moderate or heavy rain shower,7.0
2022-09-23,31.6,23.3,26.6,9.7,4.6,80.0,Patchy rain possible,7.0
2022-09-24,29.9,22.9,26.0,10.4,7.2,79.0,Patchy rain possible,6.0
2022-09-25,29.2,22.4,25.7,9.4,3.5,83.0,Moderate rain at times,6.0
2022-09-26,32.9,22.5,27.1,10.1,0.5,79.0,Patchy rain possible,7.0
2022-09-27,33.4,23.3,27.9,7.9,0.2,73.0,Patchy rain possible,7.0
2022-09-28,26.8,23.1,25.0,10.1,29.8,86.0,Moderate or heavy rain shower,6.0
2022-09-29,25.6,22.1,23.4,10.4,34.0,94.0,Moderate or heavy rain shower,6.0
2022-09-30,26.1,22.5,23.9,8.3,19.9,94.0,Moderate or heavy rain shower,6.0
2022-10-01,27.9,23.4,25.2,6.5,19.8,90.0,Moderate or heavy rain shower,6.0
2022-10-02,27.8,23.5,25.0,9.7,24.3,91.0,Moderate or heavy rain shower,6.0
2022-10-03,29.8,22.3,25.7,8.6,2.6,86.0,Patchy rain possible,6.0
2022-10-04,31.4,22.5,26.3,8.6,1.0,81.0,Patchy rain possible,7.0
2022-10-05,32.0,23.2,27.0,11.9,0.5,81.0,Patchy rain possible,7.0
2022-10-06,30.6,23.1,26.2,10.8,1.4,82.0,Moderate rain at times,7.0
2022-10-07,29.2,23.1,25.7,13.7,3.2,84.0,Moderate rain at times,6.0
2022-10-08,27.6,23.0,25.1,13.4,5.7,86.0,Moderate rain at times,6.0
2022-10-09,25.2,20.9,23.9,13.0,7.4,89.0,Heavy rain at times,6.0
2022-10-10,22.0,19.7,20.7,13.0,0.0,90.0,Overcast,5.0
2022-10-11,26.5,19.3,22.1,5.8,0.0,61.0,Partly cloudy,7.0
2022-10-12,28.1,18.9,22.9,10.4,0.0,57.0,Partly cloudy,7.0
2022-10-13,29.5,19.9,23.7,6.5,0.0,57.0,Sunny,7.0
2022-10-14,30.8,18.3,24.0,11.9,0.0,54.0,Sunny,8.0
2022-10-15,30.9,19.3,24.3,9.7,0.0,52.0,Partly cloudy,8.0
2022-10-16,31.5,18.8,24.4,11.9,0.0,56.0,Sunny,8.0
2022-10-17,31.0,19.9,25.2,14.0,0.0,57.0,Sunny,8.0
2022-10-18,30.3,18.8,24.1,12.2,0.0,51.0,Sunny,8.0
2022-10-19,25.0,17.9,21.2,10.4,2.2,55.0,Patchy rain possible,5.0
2022-10-20,17.9,16.8,17.4,9.0,23.7,81.0,Moderate or heavy rain shower,4.0
2022-10-21,20.7,17.2,19.2,10.1,4.3,95.0,Moderate or heavy rain shower,5.0
2022-10-22,31.0,19.5,24.7,10.4,0.0,78.0,Partly cloudy,8.0
2022-10-23,32.7,22.0,26.6,8.6,0.0,68.0,Partly cloudy,8.0
2022-10-24,31.8,22.6,26.6,13.7,0.2,69.0,Patchy rain possible,7.0
2022-10-25,26.3,22.4,24.2,9.0,0.7,82.0,Patchy rain possible,6.0
2022-10-26,26.8,22.2,24.2,8.0,0.4,81.0,Patchy rain possible,6.0
2022-10-27,28.1,22.5,24.6,13.3,0.7,82.0,Patchy rain possible,6.0
2022-10-28,27.6,20.6,24.1,11.5,0.3,81.0,Patchy rain possible,6.0
2022-10-29,29.6,22.5,24.8,8.2,0.0,74.0,Overcast,6.0
2022-10-30,30.0,21.6,25.5,8.6,0.0,64.0,Partly cloudy,7.0
2022-10-31,29.2,21.8,24.9,13.7,0.0,63.0,Cloudy,6.0
2022-11-01,29.9,18.6,23.5,11.5,0.0,58.0,Sunny,7.0
2022-11-02,29.6,17.0,23.0,8.9,0.0,54.0,Sunny,7.0
2022-11-03,30.1,16.9,23.0,11.9,0.0,54.0,Sunny,8.0
2022-11-04,30.2,17.6,23.4,6.5,0.0,56.0,Sunny,8.0
2022-11-05,29.5,18.9,23.7,12.8,0.1,63.0,Patchy rain possible,6.0
2022-11-06,28.2,18.1,22.7,10.4,0.0,73.0,Cloudy,6.0
2022-11-07,27.2,18.7,23.0,11.9,0.0,76.0,Cloudy,6.0
2022-11-08,29.1,19.4,23.9,10.1,0.0,73.0,Cloudy,6.0
2022-11-09,28.9,19.7,24.1,11.5,0.0,72.0,Partly cloudy,7.0
2022-11-10,28.7,20.4,24.2,12.2,0.0,75.0,Cloudy,6.0
2022-11-11,28.8,22.0,24.5,13.0,0.4,82.0,Patchy rain possible,6.0
2022-11-12,30.0,22.3,24.8,11.2,0.2,80.0,Patchy rain possible,7.0
2022-11-13,30.9,21.4,25.5,11.5,0.2,73.0,Patchy rain possible,7.0
2022-11-14,29.2,22.6,25.6,12.6,0.3,75.0,Patchy rain possible,6.0
2022-11-15,29.1,22.9,25.3,14.8,0.9,81.0,Patchy rain possible,6.0
2022-11-16,29.8,22.7,25.7,15.1,1.1,80.0,Patchy rain possible,6.0
2022-11-17,29.2,23.0,25.5,14.6,2.5,82.0,Moderate rain at times,6.0
2022-11-18,29.4,23.0,25.7,14.6,3.2,81.0,Heavy rain at times,6.0
2022-11-19,28.6,23.5,25.4,13.0,6.3,78.0,Moderate or heavy rain shower,6.0
2022-11-20,28.6,22.5,25.1,13.7,0.0,72.0,Overcast,6.0
2022-11-21,28.8,21.4,24.8,9.0,0.0,76.0,Overcast,6.0
2022-11-22,29.8,21.6,25.9,10.8,0.1,74.0,Cloudy,6.0
2022-11-23,27.7,22.7,25.0,13.3,2.8,78.0,Moderate rain at times,6.0
